CPF,Nome do Operador,Matrícula do Operador,Tipo de Atendimento,Canal de Atendimento,Tempo Médio de Atendimento (TMA) em minutos,Satisfação do Cliente (1-5),Protocolo,Data/Hora do Atendimento,Tempo de Espera em minutos,Produto/Serviço Relacionado,Resolução no Primeiro Contato?,Encaminhamento para Outro Setor,Tempo de Pós-Atendimento (minutos),Status do Atendimento
782.594.130-60,Marina Castro,SAC-6102,Reclamação,Chat,3.8,2,PROTO-2025-03-1493,08/01/2025 19:17,3.4,Telefonia,Não,Técnico,2.5,Pendente
325.067.491-52,Noah Melo,SAC-3032,Reclamação,WhatsApp,10.5,4,PROTO-2025-02-1643,16/01/2025 10:22,7.2,Telefonia,Sim,Técnico,4.1,Finalizado
620.891.354-33,João Pedro Almeida,SAC-5728,Reclamação,Chat,10.0,1,PROTO-2025-01-9842,01/04/2025 05:16,2.1,TV por Assinatura,Sim,Nenhum,1.2,Pendente
685.204.913-24,Maria Sophia Guerra,SAC-8576,Reclamação,Telefone,9.2,1,PROTO-2025-03-9889,10/04/2025 04:06,2.1,Planos,Não,Técnico,2.1,Pendente
659.384.270-29,Caroline Farias,SAC-3204,Reclamação,WhatsApp,6.4,3,PROTO-2025-01-6917,15/01/2025 19:41,4.3,Planos,Sim,Comercial,0.7,Finalizado
017.562.938-21,Alice Barros,SAC-3046,Elogio,E-mail,10.8,4,PROTO-2025-02-6097,16/03/2025 12:49,7.2,Internet,Sim,Técnico,4.3,Finalizado
752.418.360-71,Sara da Costa,SAC-6330,Elogio,Chat,9.5,4,PROTO-2025-01-1046,20/02/2025 06:57,4.8,Telefonia,Não,Financeiro,4.9,Reaberto
140.279.683-87,Henry Gabriel Guerra,SAC-8011,Reclamação,Chat,8.1,5,PROTO-2025-01-5603,05/02/2025 21:46,9.7,Planos,Sim,Comercial,1.4,Pendente
263.047.589-10,Alícia Alves,SAC-7214,Elogio,Chat,12.8,3,PROTO-2025-01-5271,13/01/2025 09:14,7.7,TV por Assinatura,Não,Financeiro,1.4,Reaberto
637.014.892-03,Pietro Carvalho,SAC-2188,Solicitação,E-mail,10.2,5,PROTO-2025-03-1313,10/02/2025 08:13,9.9,Telefonia,Não,Financeiro,4.9,Finalizado
637.589.204-00,Calebe Rios,SAC-7526,Dúvida,E-mail,10.8,3,PROTO-2025-03-3609,16/02/2025 07:42,1.8,TV por Assinatura,Sim,Técnico,3.5,Reaberto
839.125.064-42,Cecilia Oliveira,SAC-5498,Dúvida,E-mail,5.0,2,PROTO-2025-01-4240,23/01/2025 08:32,3.5,Telefonia,Não,Nenhum,4.3,Reaberto
328.591.470-04,Evelyn Campos,SAC-1901,Reclamação,Chat,6.0,5,PROTO-2025-03-6005,21/03/2025 10:52,1.2,Planos,Sim,Técnico,3.7,Pendente
781.436.502-35,Maria Vitória Marques,SAC-7705,Reclamação,Telefone,13.5,4,PROTO-2025-02-6582,05/04/2025 19:17,5.0,Planos,Sim,Nenhum,1.0,Reaberto
172.039.684-13,Noah Pastor,SAC-5485,Elogio,WhatsApp,14.8,4,PROTO-2025-02-9544,08/02/2025 01:11,8.9,Telefonia,Sim,Comercial,4.1,Finalizado
793.456.182-28,Anna Liz Garcia,SAC-2565,Dúvida,Chat,9.2,3,PROTO-2025-01-6811,09/04/2025 09:04,9.9,Internet,Sim,Técnico,2.8,Pendente
514.789.602-30,Zoe Rezende,SAC-2575,Dúvida,Chat,6.3,3,PROTO-2025-02-9523,06/03/2025 11:47,5.3,Planos,Não,Nenhum,4.1,Reaberto
978.032.645-65,Arthur Miguel Leão,SAC-8372,Solicitação,WhatsApp,8.3,4,PROTO-2025-01-4645,02/04/2025 20:49,8.6,TV por Assinatura,Não,Comercial,3.8,Reaberto
654.210.379-16,Mariane Cavalcanti,SAC-7931,Solicitação,Telefone,6.9,5,PROTO-2025-02-4541,07/04/2025 13:46,2.8,TV por Assinatura,Não,Comercial,2.0,Pendente
176.498.325-46,Otávio Borges,SAC-7898,Dúvida,Chat,7.6,3,PROTO-2025-03-2051,28/02/2025 03:41,3.6,Planos,Não,Financeiro,2.7,Pendente
810.534.962-06,Caio Sousa,SAC-5465,Elogio,E-mail,7.3,3,PROTO-2025-01-2367,24/01/2025 13:51,2.1,Planos,Sim,Nenhum,0.7,Reaberto
634.791.805-66,Nathan Barros,SAC-1688,Reclamação,WhatsApp,3.1,1,PROTO-2025-01-8234,12/01/2025 01:03,3.5,Telefonia,Sim,Financeiro,2.2,Finalizado
612.375.084-44,Sophia da Rosa,SAC-5370,Reclamação,Telefone,4.1,2,PROTO-2025-04-7248,02/03/2025 10:56,9.4,Telefonia,Sim,Financeiro,1.9,Reaberto
728.695.301-02,Sra. Ester Andrade,SAC-9758,Reclamação,Chat,7.7,2,PROTO-2025-02-5387,10/03/2025 01:50,1.4,Telefonia,Sim,Nenhum,1.4,Finalizado
637.084.125-08,Joaquim Costela,SAC-7942,Elogio,WhatsApp,8.2,1,PROTO-2025-01-9140,14/03/2025 00:40,0.6,Planos,Não,Nenhum,3.9,Pendente
013.275.864-44,Augusto Melo,SAC-1851,Solicitação,Telefone,11.4,4,PROTO-2025-03-9390,31/03/2025 01:00,7.6,Planos,Sim,Técnico,0.9,Reaberto
285.964.073-83,Murilo da Mata,SAC-9224,Reclamação,Telefone,12.2,5,PROTO-2025-01-1025,12/04/2025 18:18,3.2,TV por Assinatura,Sim,Comercial,0.6,Finalizado
987.615.403-66,Rebeca Araújo,SAC-6832,Reclamação,Telefone,9.9,5,PROTO-2025-02-2982,16/01/2025 08:13,5.6,Telefonia,Não,Comercial,0.7,Finalizado
910.628.537-68,Heitor Silveira,SAC-8530,Elogio,E-mail,6.1,5,PROTO-2025-03-7438,13/03/2025 05:54,6.6,Planos,Não,Financeiro,3.3,Pendente
164.279.850-94,Ana Beatriz Ferreira,SAC-5259,Dúvida,Chat,13.6,4,PROTO-2025-02-7981,23/01/2025 03:18,7.9,Telefonia,Sim,Financeiro,3.2,Reaberto
186.593.204-33,Ayla da Rocha,SAC-8104,Solicitação,Telefone,13.1,2,PROTO-2025-04-1867,02/01/2025 08:37,3.8,Planos,Sim,Nenhum,2.0,Finalizado
945.173.680-84,Dr. André Rocha,SAC-1869,Dúvida,Telefone,5.2,3,PROTO-2025-03-3611,17/01/2025 06:19,4.1,TV por Assinatura,Sim,Técnico,0.8,Pendente
972.435.601-99,Benicio Silveira,SAC-4215,Solicitação,Chat,14.5,3,PROTO-2025-03-8809,13/02/2025 17:31,9.4,Internet,Sim,Comercial,2.7,Finalizado
342.789.510-60,Sra. Catarina Guerra,SAC-9081,Solicitação,WhatsApp,3.3,5,PROTO-2025-02-2412,25/03/2025 04:45,7.8,Telefonia,Sim,Técnico,3.8,Reaberto
026.837.194-69,Henrique da Mota,SAC-8968,Elogio,WhatsApp,12.9,1,PROTO-2025-03-2165,06/02/2025 01:10,8.9,Internet,Não,Nenhum,1.8,Pendente
780.142.396-87,Nina Albuquerque,SAC-6434,Dúvida,Telefone,11.7,5,PROTO-2025-02-8011,17/02/2025 06:00,8.4,Internet,Não,Técnico,1.9,Finalizado
240.756.981-49,Antonella Campos,SAC-1205,Reclamação,Chat,11.8,4,PROTO-2025-03-1855,16/04/2025 18:47,7.9,TV por Assinatura,Sim,Nenhum,3.3,Reaberto
730.821.965-86,Bianca Martins,SAC-5694,Reclamação,WhatsApp,13.3,2,PROTO-2025-01-2834,20/02/2025 16:46,9.1,TV por Assinatura,Não,Comercial,2.6,Pendente
673.451.280-08,Zoe Abreu,SAC-9276,Reclamação,WhatsApp,9.7,2,PROTO-2025-01-1047,06/02/2025 20:20,0.9,Planos,Sim,Nenhum,4.0,Pendente
801.724.395-23,Srta. Ísis Costela,SAC-3746,Reclamação,E-mail,12.0,2,PROTO-2025-01-6708,03/01/2025 08:35,8.5,Telefonia,Sim,Técnico,1.8,Finalizado
951.206.378-68,Isabel Pires,SAC-2151,Dúvida,Telefone,8.9,1,PROTO-2025-04-3286,20/03/2025 11:40,5.0,Internet,Não,Técnico,4.2,Pendente
823.401.957-05,Luigi Garcia,SAC-8928,Elogio,WhatsApp,12.8,2,PROTO-2025-01-6177,11/02/2025 12:15,1.1,Planos,Sim,Nenhum,2.6,Reaberto
768.945.023-74,Leonardo Rodrigues,SAC-8612,Solicitação,WhatsApp,12.3,4,PROTO-2025-01-5772,04/04/2025 05:19,9.0,Internet,Sim,Financeiro,3.7,Pendente
410.965.823-33,Guilherme Marques,SAC-1057,Dúvida,Chat,9.9,1,PROTO-2025-04-7774,16/01/2025 23:23,5.2,TV por Assinatura,Sim,Comercial,3.2,Finalizado
604.715.938-93,Dr. Lorenzo Sales,SAC-9094,Reclamação,Chat,12.6,4,PROTO-2025-01-6911,27/02/2025 10:43,5.3,Internet,Sim,Nenhum,4.4,Finalizado
615.804.792-94,Henrique Aragão,SAC-7592,Dúvida,Chat,10.0,4,PROTO-2025-04-9942,12/02/2025 00:22,5.2,TV por Assinatura,Não,Financeiro,1.5,Pendente
497.630.182-69,Arthur Miguel Carvalho,SAC-1495,Reclamação,WhatsApp,10.5,3,PROTO-2025-04-4016,13/02/2025 08:19,3.4,Internet,Não,Comercial,1.2,Pendente
165.932.084-42,Dr. Raul Vieira,SAC-6988,Reclamação,E-mail,6.9,1,PROTO-2025-02-5192,06/01/2025 22:07,7.9,Telefonia,Não,Nenhum,3.9,Finalizado
475.921.680-49,Sra. Isabella Pacheco,SAC-8451,Solicitação,Telefone,7.1,1,PROTO-2025-03-6207,25/03/2025 23:33,7.2,TV por Assinatura,Sim,Nenhum,1.4,Reaberto
148.570.639-48,Ester Ribeiro,SAC-7497,Dúvida,Chat,8.0,4,PROTO-2025-02-1852,19/01/2025 02:32,5.2,Planos,Não,Comercial,4.1,Finalizado
536.208.971-40,Anna Liz Pires,SAC-8578,Reclamação,WhatsApp,13.6,4,PROTO-2025-04-7842,06/02/2025 13:50,5.8,TV por Assinatura,Sim,Técnico,4.1,Reaberto
914.702.685-58,Eloá Mendes,SAC-4188,Elogio,WhatsApp,3.2,3,PROTO-2025-02-6622,25/01/2025 11:54,2.2,Planos,Não,Nenhum,3.4,Pendente
327.165.809-95,Alexandre da Luz,SAC-9970,Dúvida,E-mail,5.0,5,PROTO-2025-01-1051,23/02/2025 20:57,5.6,Internet,Sim,Técnico,2.0,Finalizado
274.539.618-82,Ester Porto,SAC-1874,Solicitação,Telefone,7.5,5,PROTO-2025-04-3764,12/01/2025 22:44,2.2,Internet,Sim,Nenhum,2.9,Finalizado
126.584.930-70,Luiz Fernando Abreu,SAC-7151,Dúvida,Telefone,6.9,1,PROTO-2025-01-6107,18/02/2025 16:02,2.4,Telefonia,Não,Financeiro,0.5,Pendente
159.462.037-70,Luiz Gustavo Ramos,SAC-7178,Reclamação,E-mail,5.0,2,PROTO-2025-01-5324,10/03/2025 12:22,9.5,TV por Assinatura,Sim,Financeiro,3.0,Pendente
601.297.348-96,João Felipe Pastor,SAC-2995,Elogio,Chat,7.7,5,PROTO-2025-01-1056,23/03/2025 07:24,1.4,Telefonia,Não,Nenhum,2.5,Finalizado
164.598.027-85,Emanuelly Marques,SAC-8541,Elogio,E-mail,3.4,1,PROTO-2025-03-4141,28/02/2025 06:17,4.7,TV por Assinatura,Sim,Técnico,3.7,Pendente
398.054.627-65,Breno Montenegro,SAC-2192,Elogio,Telefone,11.2,5,PROTO-2025-04-8563,11/01/2025 06:03,5.3,TV por Assinatura,Não,Comercial,4.4,Reaberto
082.791.435-05,Dr. Henrique das Neves,SAC-6681,Dúvida,Chat,8.6,5,PROTO-2025-01-3301,28/02/2025 23:51,2.2,Telefonia,Não,Nenhum,4.9,Reaberto
697.052.481-76,Giovanna da Paz,SAC-6283,Dúvida,WhatsApp,13.1,3,PROTO-2025-04-1392,10/01/2025 14:42,9.7,Internet,Sim,Nenhum,1.9,Pendente
946.537.281-19,Lorenzo Peixoto,SAC-7694,Elogio,WhatsApp,9.6,3,PROTO-2025-03-3093,06/02/2025 02:34,4.4,Telefonia,Não,Técnico,2.7,Reaberto
590.314.286-98,Sofia Duarte,SAC-9104,Dúvida,Telefone,13.7,5,PROTO-2025-03-9551,02/03/2025 15:03,4.6,TV por Assinatura,Sim,Nenhum,1.2,Reaberto
035.761.928-59,Otávio Cavalcanti,SAC-5474,Elogio,E-mail,12.9,3,PROTO-2025-03-8897,08/03/2025 05:32,1.2,Planos,Não,Financeiro,1.0,Pendente
216.435.780-90,Benício Fonseca,SAC-9737,Dúvida,Chat,7.3,3,PROTO-2025-04-5168,12/04/2025 11:34,3.2,Telefonia,Não,Comercial,2.0,Finalizado
324.605.189-51,Ana Vitória Ferreira,SAC-1707,Elogio,WhatsApp,9.5,1,PROTO-2025-03-9933,08/02/2025 05:30,0.6,Planos,Sim,Financeiro,3.1,Reaberto
630.287.549-83,Ana Julia das Neves,SAC-2574,Solicitação,WhatsApp,3.4,1,PROTO-2025-02-7106,04/01/2025 13:56,9.2,Planos,Sim,Financeiro,2.7,Reaberto
437.591.260-06,Dra. Ana Julia Ferreira,SAC-2257,Dúvida,E-mail,7.0,1,PROTO-2025-04-3694,16/04/2025 01:27,1.6,Internet,Sim,Técnico,3.6,Finalizado
093.852.671-59,Dom da Cruz,SAC-4948,Elogio,Telefone,9.1,5,PROTO-2025-02-4981,23/02/2025 11:37,9.6,Internet,Sim,Nenhum,3.3,Reaberto
560.397.284-00,Maria Eduarda da Mota,SAC-5892,Dúvida,E-mail,3.8,1,PROTO-2025-01-2269,21/01/2025 01:16,1.5,Telefonia,Sim,Técnico,3.6,Pendente
391.745.608-75,Sra. Ana Julia Novais,SAC-5041,Elogio,Chat,14.1,3,PROTO-2025-02-8836,03/03/2025 10:42,1.5,Internet,Sim,Nenhum,2.7,Finalizado
628.391.475-64,Srta. Melina Mendonça,SAC-8673,Elogio,WhatsApp,12.5,4,PROTO-2025-03-2508,02/02/2025 21:03,5.0,Telefonia,Não,Técnico,4.7,Finalizado
028.475.163-44,Maria Clara Garcia,SAC-1113,Dúvida,E-mail,14.2,5,PROTO-2025-02-4409,22/02/2025 04:23,1.7,TV por Assinatura,Sim,Comercial,1.0,Pendente
460.897.513-75,Marcela da Cunha,SAC-3339,Elogio,WhatsApp,7.9,5,PROTO-2025-02-2329,16/01/2025 23:19,2.3,Planos,Não,Financeiro,1.0,Finalizado
918.073.265-86,Benício Vieira,SAC-5236,Elogio,Telefone,9.0,2,PROTO-2025-04-3039,27/02/2025 16:56,5.0,TV por Assinatura,Sim,Nenhum,0.8,Pendente
842.630.719-13,Davi Luiz Ramos,SAC-1607,Dúvida,Telefone,14.1,5,PROTO-2025-04-7560,01/03/2025 11:39,3.4,TV por Assinatura,Não,Comercial,4.8,Pendente
542.318.976-46,Heloisa Cirino,SAC-7128,Elogio,Chat,13.5,3,PROTO-2025-01-8439,09/02/2025 20:15,0.7,TV por Assinatura,Não,Nenhum,0.8,Finalizado
036.472.985-65,Sophie Câmara,SAC-9066,Elogio,E-mail,7.9,5,PROTO-2025-04-4866,05/04/2025 02:55,7.4,TV por Assinatura,Sim,Financeiro,4.5,Finalizado
123.408.659-05,Sra. Maria Eduarda Farias,SAC-5616,Elogio,Telefone,6.7,4,PROTO-2025-01-1218,11/04/2025 21:22,3.8,Planos,Não,Financeiro,2.6,Pendente
589.423.176-00,Heitor Leão,SAC-1812,Elogio,Telefone,14.9,1,PROTO-2025-02-9921,17/01/2025 09:05,9.7,Telefonia,Sim,Financeiro,2.1,Pendente
527.136.840-80,Dr. Luiz Henrique Gonçalves,SAC-7512,Reclamação,E-mail,6.0,4,PROTO-2025-03-9692,29/01/2025 17:41,3.0,Planos,Sim,Financeiro,3.3,Pendente
136.870.942-78,Sra. Nina Mendonça,SAC-3314,Dúvida,WhatsApp,3.8,2,PROTO-2025-02-2002,06/04/2025 22:18,7.6,TV por Assinatura,Sim,Técnico,1.9,Finalizado
503.896.417-66,Davi da Luz,SAC-9015,Solicitação,WhatsApp,13.8,5,PROTO-2025-02-8223,08/04/2025 13:17,2.4,Telefonia,Sim,Comercial,1.9,Reaberto
906.423.817-04,Julia Garcia,SAC-9427,Reclamação,WhatsApp,12.6,1,PROTO-2025-04-5243,01/02/2025 07:57,4.9,Telefonia,Não,Técnico,2.2,Pendente
769.254.810-20,Sophie da Mota,SAC-5870,Dúvida,Telefone,14.9,5,PROTO-2025-01-8704,31/01/2025 11:41,3.3,Telefonia,Sim,Financeiro,1.0,Pendente
190.485.327-79,Nicolas Peixoto,SAC-6387,Reclamação,WhatsApp,7.0,4,PROTO-2025-02-5409,03/01/2025 22:53,5.9,Telefonia,Não,Comercial,4.0,Finalizado
541.382.960-42,Maria Fernanda da Rocha,SAC-3591,Dúvida,E-mail,5.6,1,PROTO-2025-01-8849,09/03/2025 03:49,4.8,Telefonia,Não,Comercial,4.2,Finalizado
187.409.263-03,Renan Martins,SAC-9330,Elogio,Chat,13.4,3,PROTO-2025-03-5096,16/04/2025 01:49,6.0,Telefonia,Não,Comercial,3.4,Finalizado
421.096.358-51,Sra. Maria Fernanda Vieira,SAC-3351,Dúvida,Chat,8.8,1,PROTO-2025-04-3791,09/02/2025 05:04,7.3,Telefonia,Sim,Técnico,3.5,Reaberto
589.207.613-02,Sr. Anthony Câmara,SAC-7321,Solicitação,E-mail,4.3,4,PROTO-2025-01-1362,16/03/2025 04:42,8.8,Telefonia,Sim,Financeiro,1.6,Pendente
637.059.482-29,Sara Santos,SAC-5252,Dúvida,Chat,8.2,4,PROTO-2025-03-3148,02/03/2025 03:56,1.0,Planos,Sim,Financeiro,1.1,Finalizado
873.294.056-47,João Lucas da Paz,SAC-6387,Solicitação,Telefone,12.3,5,PROTO-2025-01-8562,30/03/2025 13:17,5.5,Internet,Não,Comercial,4.6,Reaberto
602.853.174-07,Fernanda Fogaça,SAC-8429,Reclamação,WhatsApp,11.8,5,PROTO-2025-04-4602,16/03/2025 16:38,2.9,TV por Assinatura,Sim,Nenhum,4.2,Reaberto
384.906.527-83,Luana Silva,SAC-3323,Dúvida,Chat,6.6,1,PROTO-2025-04-3937,13/04/2025 13:24,3.3,Planos,Não,Técnico,0.5,Finalizado
268.534.179-09,Caroline Ramos,SAC-5489,Dúvida,Telefone,13.0,5,PROTO-2025-01-8860,13/01/2025 19:36,10.0,Internet,Não,Financeiro,4.5,Finalizado
501.978.324-23,Miguel Lopes,SAC-3191,Solicitação,WhatsApp,12.1,2,PROTO-2025-04-1941,24/03/2025 17:48,7.8,Internet,Não,Técnico,3.7,Finalizado
154.938.260-89,Thomas Fernandes,SAC-9015,Reclamação,Chat,13.6,4,PROTO-2025-03-5116,27/03/2025 23:08,6.3,Internet,Sim,Técnico,3.6,Reaberto
426.091.538-05,Otávio Rocha,SAC-3773,Dúvida,E-mail,9.3,5,PROTO-2025-04-8896,04/01/2025 00:31,6.6,Planos,Não,Nenhum,1.5,Reaberto
946.305.721-80,Caroline da Paz,SAC-3157,Solicitação,WhatsApp,6.0,1,PROTO-2025-02-4273,14/03/2025 15:31,0.9,Internet,Não,Nenhum,1.2,Reaberto
168.257.903-40,Ana Carolina Câmara,SAC-8057,Elogio,WhatsApp,5.3,2,PROTO-2025-04-4871,07/02/2025 19:14,4.0,Internet,Sim,Comercial,2.4,Pendente
987.164.523-64,Ana Liz Machado,SAC-2268,Solicitação,Telefone,6.7,4,PROTO-2025-03-6949,29/01/2025 19:17,3.6,TV por Assinatura,Sim,Nenhum,4.5,Finalizado
028.495.136-60,Bruna Porto,SAC-3673,Reclamação,WhatsApp,3.7,1,PROTO-2025-02-9315,29/03/2025 19:41,1.3,Planos,Sim,Nenhum,2.3,Pendente
314.290.587-14,Maria Isis Garcia,SAC-8073,Reclamação,Telefone,14.4,4,PROTO-2025-02-7102,04/03/2025 20:45,5.8,Internet,Sim,Financeiro,2.3,Reaberto
250.648.319-51,Dr. Ravi Lucca Cavalcanti,SAC-6891,Elogio,Telefone,14.1,1,PROTO-2025-02-1511,13/04/2025 14:34,1.6,Planos,Sim,Comercial,1.4,Finalizado
348.267.159-19,Fernanda Correia,SAC-7219,Reclamação,Chat,10.6,1,PROTO-2025-01-9703,08/04/2025 17:02,8.0,TV por Assinatura,Não,Técnico,3.0,Reaberto
390.526.814-06,Maria Sophia da Cunha,SAC-1061,Reclamação,Chat,10.2,5,PROTO-2025-02-8684,25/01/2025 21:33,2.0,Planos,Sim,Nenhum,4.1,Pendente
601.932.845-70,Maria Luísa Caldeira,SAC-7131,Reclamação,E-mail,13.6,5,PROTO-2025-03-6474,06/03/2025 23:03,1.0,Internet,Sim,Comercial,0.8,Finalizado
879.346.210-78,Sarah Rezende,SAC-6116,Reclamação,Telefone,11.3,5,PROTO-2025-02-4818,25/02/2025 13:43,6.5,Planos,Sim,Técnico,0.9,Reaberto
852.470.639-29,Maria Clara da Mota,SAC-3442,Reclamação,WhatsApp,14.1,2,PROTO-2025-01-8965,13/01/2025 00:15,6.9,Internet,Sim,Nenhum,3.2,Pendente
314.978.206-69,Heloísa Fogaça,SAC-2955,Solicitação,E-mail,8.3,1,PROTO-2025-02-4154,27/02/2025 05:49,2.2,Telefonia,Sim,Nenhum,3.2,Pendente
296.518.403-15,Srta. Bella Brito,SAC-3158,Dúvida,Chat,13.5,1,PROTO-2025-01-6508,07/03/2025 14:35,7.1,Telefonia,Não,Nenhum,4.1,Pendente
081.329.546-70,Maria Laura Camargo,SAC-5606,Elogio,Chat,13.5,3,PROTO-2025-03-9206,22/03/2025 05:34,2.3,TV por Assinatura,Sim,Técnico,2.6,Reaberto
934.601.782-13,Julia Albuquerque,SAC-5134,Elogio,WhatsApp,5.0,2,PROTO-2025-01-4230,04/02/2025 01:34,2.9,Telefonia,Sim,Comercial,1.9,Pendente
043.786.195-39,Dr. Lucas da Rosa,SAC-4726,Solicitação,Telefone,14.2,3,PROTO-2025-04-4143,18/03/2025 06:22,2.2,Planos,Sim,Técnico,1.3,Pendente
719.368.520-12,Sr. Henrique da Cunha,SAC-3371,Solicitação,WhatsApp,11.4,1,PROTO-2025-01-2224,13/04/2025 12:44,0.9,Planos,Não,Técnico,0.8,Reaberto
492.385.067-10,Vitória da Rocha,SAC-6226,Solicitação,WhatsApp,5.0,1,PROTO-2025-01-6222,09/02/2025 04:19,2.3,TV por Assinatura,Sim,Comercial,4.0,Finalizado
132.609.478-50,Sophie Brito,SAC-2969,Solicitação,Chat,14.9,3,PROTO-2025-02-2607,31/01/2025 14:30,4.8,Internet,Sim,Financeiro,2.9,Finalizado
685.049.721-94,Henry Gabriel Andrade,SAC-8083,Elogio,E-mail,10.3,5,PROTO-2025-03-6115,10/04/2025 06:58,3.1,Internet,Não,Comercial,1.0,Reaberto
